Object Tracking Data File Thu, Nov 23, 2023 8:14 AM
X (pixels)  	Y (pixels)  
1030.37	231.67
1030.13	231.66
1030.11	231.78
1030.13	231.71
1030.41	231.82
1030.31	231.61
1030.43	231.56
1030.19	231.42
1030.17	231.55
1030.42	231.80
1030.00	231.49
1030.61	231.67
1030.13	231.62
1030.60	231.65
1030.15	231.80
1030.56	231.56
1030.43	231.43
1030.54	231.40
1030.75	231.39
1030.87	231.63
1030.48	231.51
1030.25	231.51
1030.08	231.42
1029.95	231.68
1030.37	231.65
1030.05	231.72
1030.42	231.70
1030.09	231.48
1029.98	231.83
1030.42	231.66
1030.19	231.89
1030.32	231.40
1030.16	231.70
1030.71	231.82
1030.07	231.85
1030.43	231.84
1030.34	231.60
1030.04	231.52
1030.08	231.88
1029.96	231.88
1030.32	231.48
1030.14	231.47
1030.29	231.82
1030.12	232.04
1030.39	231.88
1030.27	231.78
1029.86	231.71
1030.25	231.64
1030.02	231.88
1029.82	231.58
1030.16	231.76
1030.08	231.65
1030.33	231.85
1029.88	231.99
1030.38	231.90
1030.45	231.77
1030.41	232.06
1030.15	231.71
1030.17	231.76
1030.39	231.59
1030.39	231.77
1030.17	231.63
1030.05	231.94
1029.99	231.94
1030.32	231.73
1030.11	231.77
1029.92	231.90
1030.10	231.84
1029.94	231.78
1030.40	231.44
1029.84	232.05
1030.26	231.96
1030.40	231.95
1030.09	231.77
1029.92	231.77
1030.33	231.97
1029.90	231.74
1030.27	232.04
1030.35	231.69
1030.11	231.87
1029.99	232.04
1030.17	232.26
1029.97	231.79
1029.96	231.88
1029.92	232.06
1030.29	231.89
1029.85	232.09
1030.48	231.87
1030.07	231.74
1030.26	231.76
1030.12	232.08
1029.88	232.03
1029.92	231.98
1029.89	232.10
1029.96	232.12
1030.22	232.09
1030.10	231.94
1029.95	232.13
1030.16	232.12
1030.20	231.63
1030.45	231.80
1030.24	232.06
1030.13	231.89
1029.83	232.29
1030.43	231.85
1030.37	232.07
1030.29	232.03
1030.27	231.57
1030.13	231.89
1030.26	232.04
1029.89	231.91
1030.22	231.89
1030.20	231.89
1030.22	232.00
1030.09	232.16
1029.92	232.12
1030.04	232.08
1030.12	231.85
1030.03	232.08
1030.20	232.13
