Object Tracking Data File Thu, Nov 23, 2023 8:12 AM
X (pixels)  	Y (pixels)  
458.76	106.11
454.50	102.18
449.37	101.98
452.27	108.24
454.78	107.82
453.58	105.79
452.15	106.13
447.23	100.95
442.44	104.32
446.60	108.74
448.63	112.62
451.35	111.12
449.27	97.77
447.64	98.93
447.75	98.88
448.54	104.42
446.96	107.91
444.20	111.10
442.92	111.40
440.05	114.87
438.56	121.24
442.94	123.85
442.41	119.11
436.92	120.94
435.55	123.45
431.63	124.04
431.38	118.20
428.83	119.01
427.84	122.08
426.46	126.98
427.37	121.64
418.94	118.80
418.45	121.01
414.87	122.32
421.09	122.15
423.25	123.75
427.58	124.81
427.92	128.43
431.87	124.85
425.17	122.47
422.60	127.68
418.04	121.05
418.24	121.06
421.17	119.14
421.47	114.42
421.74	113.90
423.61	116.44
419.30	117.03
420.34	111.67
416.55	108.01
420.73	112.31
419.68	112.87
426.25	111.08
424.15	106.48
424.62	107.79
428.49	109.37
428.03	111.34
431.46	107.78
431.01	107.32
434.81	107.26
432.58	108.45
432.57	110.44
433.16	110.84
426.28	109.47
427.81	110.07
427.60	112.18
426.22	112.45
424.37	116.55
421.71	117.67
420.51	115.87
422.71	120.55
421.55	120.35
417.31	121.39
417.34	121.94
420.87	121.74
423.49	121.60
422.21	119.84
419.21	120.25
419.90	115.63
417.96	111.52
415.73	111.43
417.61	116.10
415.57	114.54
418.43	112.43
421.56	112.35
421.52	113.86
421.17	113.66
418.64	110.40
423.09	111.10
426.25	112.99
429.07	112.81
431.30	113.18
427.51	116.05
424.49	115.86
422.34	112.25
421.23	105.54
415.46	104.04
416.79	101.56
417.17	104.86
419.92	108.77
421.50	109.31
426.50	113.28
424.62	115.57
428.01	113.68
421.77	112.07
426.70	108.30
430.62	114.01
427.70	115.39
429.59	118.09
426.12	122.82
427.75	123.19
425.11	121.85
424.57	121.98
422.43	122.78
420.45	121.17
418.11	118.32
416.88	122.77
416.48	127.24
418.73	127.96
417.62	127.47
