Object Tracking Data File Thu, Nov 23, 2023 8:14 AM
X (pixels)  	Y (pixels)  
775.87	168.54
775.80	168.72
771.19	164.32
769.62	158.59
770.68	161.07
769.30	161.18
764.47	160.82
762.03	161.87
757.15	155.26
756.25	157.06
756.01	159.99
753.34	156.90
755.56	159.62
754.60	160.11
758.38	160.64
756.90	155.89
760.02	155.71
762.17	159.71
760.72	159.68
756.55	154.62
760.61	156.77
749.55	163.09
750.40	158.93
746.88	155.26
744.72	159.69
745.43	160.58
748.90	164.56
743.19	157.70
744.65	160.61
751.79	160.83
756.06	155.21
754.19	152.19
753.98	148.48
756.15	144.31
761.46	139.55
759.03	146.75
761.85	142.67
757.39	139.23
764.77	135.13
771.12	132.00
768.05	127.97
771.84	125.90
778.29	130.29
773.93	130.48
774.03	130.06
779.43	127.39
779.93	127.65
780.90	124.69
777.86	126.56
774.55	129.29
768.50	119.27
769.35	117.22
769.55	118.51
773.67	121.13
771.90	123.05
771.31	120.83
772.93	122.41
779.84	125.04
777.41	123.01
778.99	121.44
774.62	123.64
775.37	118.81
776.61	117.28
772.31	122.77
763.48	126.04
763.14	128.29
760.76	127.28
759.99	128.91
761.12	133.13
762.14	132.76
760.85	133.53
763.29	129.94
761.11	128.82
761.00	125.37
760.05	119.98
760.59	119.91
763.56	121.51
767.79	122.60
766.34	122.77
769.74	120.25
768.79	122.78
767.20	130.56
770.93	131.93
771.92	135.93
771.41	137.37
775.33	137.77
778.18	138.24
780.98	134.23
782.65	135.76
781.63	131.15
782.65	128.67
787.13	127.98
785.05	131.10
783.51	133.73
787.27	141.92
785.70	147.10
789.36	150.30
796.42	152.14
785.07	154.75
787.59	156.04
788.62	158.88
788.02	160.54
790.33	161.72
787.86	161.57
791.02	158.41
794.96	158.15
794.63	162.15
788.11	162.90
785.18	164.21
785.76	163.50
787.20	161.37
780.18	160.55
781.58	161.31
776.12	160.76
776.33	162.74
778.00	159.51
780.74	161.20
786.54	162.78
784.72	165.48
790.84	163.62
