Object Tracking Data File Thu, Nov 23, 2023 8:15 AM
X (pixels)  	Y (pixels)  
68.58	725.43
71.07	731.96
58.98	734.67
58.28	732.70
59.75	739.08
56.65	733.36
51.10	728.17
56.16	719.33
53.41	717.24
53.82	719.53
54.28	721.50
53.79	713.89
48.17	711.23
48.54	707.33
45.69	708.54
37.60	712.45
31.27	714.31
35.48	715.32
39.71	714.37
39.73	719.01
33.52	718.34
34.84	711.95
33.94	715.52
32.97	711.91
29.16	714.62
32.33	709.89
29.09	709.65
31.17	705.59
33.81	710.63
34.07	713.90
38.24	712.28
34.67	709.35
30.66	704.85
37.20	710.65
38.56	711.17
39.19	710.99
32.84	718.79
31.80	714.93
32.79	717.14
30.93	713.13
31.53	716.24
28.07	712.31
29.52	706.77
28.31	710.98
28.55	710.46
34.66	710.50
33.80	708.94
32.86	703.92
31.08	705.00
31.33	701.48
34.43	702.17
39.01	710.94
42.32	708.90
45.18	708.00
42.78	708.88
43.55	715.88
39.08	715.07
44.78	711.54
48.35	713.32
48.21	715.14
54.92	716.11
57.28	716.62
60.63	719.69
61.41	724.79
67.73	726.02
69.48	725.47
70.70	723.15
70.04	723.73
66.13	723.13
64.99	719.83
65.83	722.41
62.87	722.06
60.34	724.21
63.15	724.47
61.51	727.51
64.70	723.81
65.82	715.62
65.59	714.39
65.58	712.16
68.24	712.77
73.88	714.37
77.19	716.57
76.66	719.46
77.05	723.90
73.22	726.87
70.34	721.70
67.23	726.67
66.64	724.97
63.05	724.66
62.79	726.34
59.05	730.07
63.11	721.64
57.85	728.44
60.11	731.76
61.57	732.89
57.54	731.31
54.54	734.05
53.66	728.60
51.39	733.74
53.63	738.00
47.73	737.40
47.25	738.66
44.42	735.84
44.08	735.38
50.51	735.79
48.56	740.20
53.04	736.37
51.96	733.73
54.06	727.86
54.13	725.69
51.19	723.05
58.68	721.17
62.39	714.60
60.06	712.26
63.28	707.32
62.99	707.88
58.54	713.02
58.58	706.18
53.49	704.99
52.85	707.56
