Object Tracking Data File Thu, Nov 23, 2023 7:43 AM
X (pixels)  	Y (pixels)  
546.68	366.22
544.95	364.30
551.72	365.80
557.83	368.70
558.57	369.50
554.56	369.95
557.19	369.92
559.29	368.01
558.14	363.60
561.52	365.96
559.69	368.16
567.87	360.11
566.60	357.38
565.50	353.81
564.93	353.89
566.20	351.43
567.81	356.74
572.40	353.65
569.44	359.64
572.55	359.93
571.13	357.48
569.13	356.07
574.05	360.97
572.07	356.81
569.35	359.32
566.88	354.92
563.52	352.35
562.84	357.78
565.21	361.49
561.07	360.63
559.88	363.92
562.50	357.46
563.23	364.97
569.05	362.05
562.97	362.36
559.55	361.03
557.92	362.23
565.91	357.51
568.78	359.66
571.00	364.69
569.37	362.47
567.88	365.17
566.87	363.79
573.79	375.51
573.54	372.85
569.58	373.85
570.08	376.45
574.75	377.77
574.93	375.47
575.73	376.22
580.70	381.04
583.96	380.16
579.19	387.43
573.94	388.44
570.75	390.90
569.32	396.88
569.31	399.26
570.82	404.11
571.64	401.96
574.84	405.08
573.48	400.80
573.41	399.34
574.42	397.65
575.37	396.63
574.26	400.36
577.28	397.68
575.36	400.04
579.03	401.05
579.11	405.74
581.83	398.75
577.43	396.37
571.43	397.12
571.52	399.86
574.14	398.52
577.26	398.11
574.92	402.80
574.09	402.42
576.18	408.16
572.61	408.45
572.79	412.89
574.49	412.65
574.43	414.32
574.18	410.44
575.88	414.29
573.28	413.10
574.25	418.46
577.22	419.57
576.94	415.63
581.18	412.51
582.31	405.98
586.05	403.38
583.72	400.87
584.82	399.31
580.51	400.45
583.86	395.07
580.92	394.40
585.94	393.07
580.87	395.73
577.52	398.10
575.30	391.54
576.37	389.08
578.55	388.46
578.85	390.82
585.12	393.06
587.74	394.99
588.52	391.90
587.11	390.34
579.78	389.08
576.83	382.57
578.54	381.01
581.28	375.08
580.54	374.05
585.98	372.91
580.09	375.48
587.45	372.60
589.40	373.94
587.27	374.23
593.51	373.22
593.19	371.49
594.34	369.82
