Object Tracking Data File Thu, Nov 23, 2023 7:44 AM
X (pixels)  	Y (pixels)  
939.01	482.28
939.06	482.43
939.80	478.84
935.32	483.82
934.42	481.74
927.98	483.87
924.12	485.15
922.35	478.54
922.18	475.84
922.47	472.78
923.40	475.93
923.11	473.40
913.38	477.82
913.00	473.49
908.96	480.66
909.35	485.41
902.81	487.04
903.68	493.91
904.97	489.75
903.66	488.26
905.85	489.56
902.50	491.82
896.43	499.03
901.34	502.26
903.70	497.24
901.31	501.94
903.80	501.76
902.42	505.39
903.18	503.08
899.92	506.57
901.88	506.91
899.64	505.25
896.20	497.49
899.01	495.80
896.57	497.11
905.59	494.61
912.69	502.61
911.68	505.41
909.59	501.09
907.55	498.33
907.72	497.38
906.86	499.51
907.71	494.99
906.26	496.71
908.19	500.13
913.47	497.24
913.34	495.01
916.85	494.81
917.61	493.91
922.22	492.19
923.61	491.21
925.47	491.36
928.74	484.74
935.46	485.87
936.02	482.93
930.37	487.53
929.84	488.88
932.59	486.88
931.43	483.76
934.75	487.54
938.29	487.95
939.30	486.26
938.31	493.16
932.11	488.20
934.55	490.23
931.24	491.70
933.23	494.50
932.53	496.01
934.82	495.36
934.78	492.24
934.09	494.41
935.91	498.54
927.13	496.63
935.23	493.58
936.51	490.31
936.99	495.61
934.80	498.41
935.47	492.67
935.14	492.57
935.71	493.75
932.85	486.68
929.10	488.12
929.26	487.56
923.35	489.51
921.37	486.99
924.33	486.46
928.95	483.73
933.09	486.49
934.43	493.67
930.26	492.93
934.33	492.56
936.09	498.36
940.52	495.19
940.31	500.26
949.03	497.67
953.33	498.95
956.52	498.24
956.53	496.19
956.74	497.29
956.04	495.82
961.29	493.37
963.39	486.17
964.93	484.92
967.14	484.52
961.68	485.54
955.83	483.99
957.53	480.81
950.93	482.59
951.96	480.75
958.31	488.75
961.74	485.31
961.13	485.98
954.96	486.79
951.54	489.63
961.95	487.92
963.14	491.00
965.43	486.94
960.93	493.08
964.00	497.29
966.44	496.98
