Object Tracking Data File Thu, Nov 23, 2023 7:43 AM
X (pixels)  	Y (pixels)  
380.73	163.13
378.46	165.90
379.29	167.68
384.02	167.03
381.71	156.65
379.51	154.87
379.48	153.31
378.92	153.19
379.07	155.25
379.27	153.86
376.99	155.33
374.45	153.86
371.37	154.26
377.34	155.17
373.12	156.31
376.58	160.10
384.82	158.22
381.24	161.97
380.84	161.35
382.23	164.30
379.22	164.72
388.14	163.27
389.74	169.51
391.35	169.34
391.89	171.59
397.05	175.55
398.23	175.82
396.45	178.32
403.39	188.02
400.95	190.68
396.12	186.61
393.92	183.41
391.37	178.73
399.88	182.48
402.17	176.92
404.46	175.17
400.48	166.61
404.52	161.99
406.04	161.05
406.10	162.56
404.36	167.12
407.38	165.22
407.47	163.20
409.75	168.14
409.51	171.09
412.04	171.16
406.75	173.50
411.44	177.33
412.73	178.47
413.64	181.58
413.35	187.46
411.74	189.32
407.90	190.71
413.90	189.46
417.59	193.65
414.50	195.71
411.17	192.52
408.22	190.17
408.63	186.82
413.37	181.15
413.62	185.30
414.73	184.86
413.99	186.27
413.04	187.86
421.24	189.41
415.87	189.15
411.76	189.92
415.77	193.20
414.98	189.28
414.85	190.50
416.69	196.44
415.29	190.46
420.32	188.23
422.53	192.81
425.17	190.60
431.12	188.82
432.08	186.89
431.51	187.32
431.25	190.92
432.16	189.55
435.01	189.77
433.14	190.74
429.77	186.89
429.40	187.71
430.91	189.29
425.95	188.56
425.92	187.56
435.55	180.34
438.12	182.91
442.26	186.30
432.97	175.43
435.18	168.19
435.79	162.12
434.60	160.16
432.48	159.74
432.75	164.73
433.58	170.33
437.67	163.89
443.32	165.02
449.42	166.59
446.50	163.34
445.37	161.99
442.62	165.72
441.61	163.29
439.38	155.59
434.81	150.52
429.39	151.21
435.26	153.09
441.35	159.97
436.42	158.33
435.13	159.20
434.41	157.05
443.59	159.48
441.81	156.54
446.79	157.46
451.47	152.36
449.83	156.68
449.06	154.26
450.18	156.78
455.10	161.46
