Object Tracking Data File Thu, Nov 23, 2023 8:25 AM
X (pixels)  	Y (pixels)  
792.56	316.96
798.17	315.40
796.31	312.71
791.64	310.98
789.35	312.44
792.20	309.76
796.10	306.52
799.31	308.55
806.00	304.75
812.80	310.97
809.83	312.85
811.05	315.56
813.75	315.96
817.78	316.66
812.84	326.33
818.07	323.07
816.08	325.23
818.30	323.71
824.77	327.49
826.01	326.76
826.32	327.23
831.56	327.24
833.42	323.13
834.22	316.50
831.57	311.10
833.31	311.07
838.11	308.63
843.40	308.68
844.59	311.18
847.94	316.60
841.45	320.16
842.86	322.63
832.53	315.23
830.94	311.37
827.70	309.91
832.63	312.10
833.62	318.47
841.33	315.58
850.13	314.60
852.05	316.42
847.98	318.65
843.49	318.07
844.28	323.36
838.89	320.44
838.45	321.22
839.23	321.24
839.93	320.89
836.56	321.79
838.90	318.39
841.70	319.22
841.38	313.91
842.09	315.73
848.78	313.72
849.19	311.87
852.54	314.70
850.54	315.69
852.17	324.16
852.27	331.12
852.25	328.64
852.86	331.29
852.55	333.83
857.40	331.61
859.20	328.65
857.96	332.07
858.77	328.60
853.80	330.78
854.78	331.47
851.58	328.41
853.67	330.77
854.25	323.98
856.05	328.18
851.78	324.46
846.39	319.53
847.67	319.59
851.40	317.30
852.25	319.03
857.65	322.04
853.52	324.61
853.41	324.72
855.51	325.30
851.04	322.89
847.01	319.82
845.40	315.35
839.78	317.38
842.76	319.25
840.15	318.69
839.04	312.16
843.17	317.96
843.62	315.50
839.78	314.61
844.75	318.07
842.59	315.84
841.68	314.14
841.12	316.02
839.10	318.51
834.18	321.30
834.85	315.72
830.77	316.75
829.25	314.58
829.70	311.41
830.76	314.90
834.11	317.51
839.78	319.15
840.37	323.60
843.83	327.72
846.03	329.02
844.36	327.36
850.46	328.39
852.52	328.43
851.31	326.34
851.80	321.82
853.23	322.31
851.07	321.58
849.15	322.14
852.35	319.71
857.41	320.61
854.39	319.95
855.70	319.27
852.09	320.00
852.16	318.38
