Object Tracking Data File Thu, Nov 23, 2023 8:22 AM
X (pixels)  	Y (pixels)  
809.99	126.32
820.44	127.51
819.83	127.81
823.82	132.27
826.96	134.51
830.01	132.31
829.62	138.59
824.67	139.80
824.17	142.70
823.10	128.41
825.82	129.30
820.94	136.37
818.55	139.80
816.35	135.60
815.14	129.44
808.55	128.54
806.44	122.07
806.46	123.46
809.34	126.22
809.94	121.06
811.42	118.53
814.18	116.50
809.10	115.38
809.99	115.43
804.82	116.16
800.20	114.78
803.82	112.86
802.30	113.66
800.38	115.61
805.69	117.04
807.21	118.55
808.28	119.08
812.50	118.71
816.28	121.33
814.49	124.76
808.88	122.12
811.70	119.93
812.41	121.74
810.63	124.45
809.39	126.70
808.43	126.01
804.90	130.21
804.53	130.98
803.93	129.41
807.25	128.44
804.89	131.39
804.03	133.51
806.39	132.61
808.87	135.54
803.67	133.63
798.26	136.24
794.36	136.16
794.57	136.20
798.13	132.85
795.69	131.33
795.48	130.19
796.09	134.39
798.40	136.39
799.53	138.59
794.71	132.20
795.76	131.66
793.15	138.13
800.49	137.59
804.23	132.69
805.97	132.48
807.56	133.92
814.05	131.09
816.64	131.71
812.43	131.04
801.70	128.59
803.38	126.89
802.54	124.16
798.22	125.16
797.11	124.75
796.46	124.79
800.66	127.34
805.16	129.75
807.09	129.00
809.12	136.24
803.88	138.63
803.69	143.88
804.47	151.02
807.31	152.40
807.41	154.08
804.09	156.24
805.53	156.22
803.93	154.42
806.07	152.08
807.14	153.25
804.34	154.99
807.57	163.81
814.16	157.49
818.74	158.63
818.06	157.78
823.89	152.55
823.33	152.91
827.43	151.25
825.09	155.58
828.33	158.30
832.65	159.78
834.34	162.26
836.41	160.19
843.54	164.71
836.09	165.80
840.69	174.70
836.68	172.69
837.19	170.36
837.39	174.09
844.32	171.56
847.26	174.17
849.31	168.54
847.01	159.31
843.20	162.57
843.52	166.45
842.68	165.59
850.01	156.08
848.52	161.79
849.74	158.16
857.81	159.37
862.32	162.15
