Object Tracking Data File Thu, Nov 23, 2023 7:45 AM
X (pixels)  	Y (pixels)  
527.20	94.03
537.00	100.79
541.13	97.82
540.65	92.12
535.12	88.59
532.41	91.65
533.91	99.45
535.43	103.30
528.83	101.35
526.14	105.32
525.48	107.20
527.46	109.78
533.65	117.00
539.62	113.81
539.91	110.01
538.26	108.40
540.20	104.43
538.63	102.27
534.58	105.08
534.42	110.37
532.54	113.69
535.15	116.89
535.77	112.60
536.63	112.71
537.45	112.34
543.74	105.73
537.52	104.78
537.05	99.58
535.72	95.26
536.02	90.73
537.66	87.68
536.83	90.77
536.53	98.03
536.88	97.81
530.14	96.56
528.65	96.20
530.02	93.57
525.45	98.37
519.34	97.70
520.54	97.49
516.40	98.97
516.22	95.84
516.94	100.45
517.21	102.82
514.69	100.95
511.44	99.04
515.38	100.00
521.87	103.09
521.51	99.51
520.01	98.02
517.45	91.43
522.52	89.50
519.54	90.34
514.93	92.48
511.33	94.29
511.80	91.59
513.20	90.01
511.15	94.68
510.94	98.00
508.39	102.90
503.23	100.89
505.25	96.67
497.44	96.94
501.43	92.92
503.08	95.50
501.67	95.08
503.80	97.99
503.15	100.61
498.39	97.93
502.70	98.02
493.18	99.68
488.84	98.27
493.43	97.22
492.81	92.67
493.13	93.70
496.33	91.14
501.77	95.76
498.21	92.45
495.03	95.44
494.92	96.84
492.54	94.39
489.51	88.29
482.78	96.61
478.17	106.17
480.87	107.26
483.95	108.27
481.74	113.74
482.75	112.72
486.21	110.40
483.36	102.77
486.17	102.33
489.49	107.08
487.94	110.12
489.46	112.36
484.25	119.84
487.21	122.13
486.92	123.33
491.53	122.34
490.59	124.87
492.31	123.68
492.55	122.03
494.43	122.38
498.77	122.61
499.41	125.04
501.06	125.36
501.42	125.89
506.11	121.01
510.28	118.83
514.28	121.89
507.60	122.59
507.82	116.45
504.87	114.82
505.94	114.67
506.62	113.39
507.53	116.85
504.58	115.92
504.78	114.37
499.99	112.24
497.44	111.59
495.86	106.94
