Object Tracking Data File Thu, Nov 23, 2023 7:46 AM
X (pixels)  	Y (pixels)  
731.41	139.32
731.08	132.71
732.05	141.88
737.31	140.64
746.18	140.66
751.38	145.37
743.38	151.50
739.94	150.38
734.99	149.06
739.04	148.68
744.38	144.39
745.60	148.99
742.36	147.28
740.99	142.07
741.04	140.51
740.60	144.06
745.03	146.30
745.37	146.12
741.83	145.66
741.88	150.23
741.65	149.15
743.62	147.04
743.33	147.08
744.24	145.17
739.29	145.19
741.77	145.57
745.94	142.55
746.85	136.94
744.78	140.52
744.92	136.93
746.16	130.19
742.34	127.80
738.90	128.79
739.28	121.12
734.68	119.68
726.10	115.66
723.17	107.69
721.70	102.27
718.76	97.28
720.12	90.44
716.62	93.00
717.28	91.46
716.59	91.50
717.15	86.05
709.05	92.39
709.88	88.53
708.73	87.75
705.06	98.29
705.91	96.62
698.42	97.78
693.72	98.74
690.95	96.33
686.31	95.79
684.86	99.08
693.77	97.28
687.50	96.87
688.23	95.24
688.02	96.85
690.09	93.47
681.22	92.42
676.26	100.65
679.84	102.80
677.97	109.15
682.54	108.36
682.66	102.45
673.13	97.67
666.92	103.79
665.61	102.95
665.84	102.80
668.20	104.37
659.01	102.14
659.37	100.71
650.39	93.13
653.49	90.39
655.96	90.06
650.85	90.14
655.03	88.34
662.57	90.36
673.12	89.65
674.19	89.25
678.18	82.19
668.09	85.15
665.01	86.78
673.16	86.36
665.78	77.76
663.10	81.31
663.35	76.69
668.36	75.60
665.79	75.51
667.29	76.05
672.98	73.28
670.29	75.13
675.35	73.95
674.28	71.19
672.29	67.94
675.17	68.51
676.85	69.81
676.26	70.25
675.36	66.70
675.52	69.66
679.42	70.91
678.64	66.23
673.78	65.13
666.11	61.81
665.31	69.24
661.84	65.37
653.74	61.68
648.05	60.19
651.81	54.65
651.68	51.10
645.08	47.19
646.31	51.55
646.89	41.16
651.06	40.38
655.47	43.27
656.89	41.46
662.89	38.98
668.47	39.80
670.95	35.80
665.12	40.46
