Object Tracking Data File Thu, Nov 23, 2023 7:46 AM
X (pixels)  	Y (pixels)  
595.16	293.48
591.94	295.75
593.63	294.20
594.74	294.92
593.48	294.39
591.87	292.48
591.75	296.37
588.67	293.13
592.55	287.18
593.76	286.48
588.30	283.39
586.44	279.02
585.46	279.91
587.54	276.50
582.92	278.88
588.45	280.99
587.88	281.55
596.14	286.15
596.76	285.01
602.43	285.99
602.46	278.37
606.50	278.82
614.68	280.63
617.52	285.85
618.07	283.32
618.57	281.38
612.25	287.78
609.40	291.26
609.49	287.01
604.65	289.10
606.98	288.35
612.23	290.44
610.30	288.19
612.13	286.36
613.15	281.52
608.27	275.81
610.53	273.92
609.76	275.92
607.12	275.18
606.76	272.79
605.91	275.90
612.60	275.83
616.40	273.74
616.33	273.84
622.79	280.07
628.96	287.36
625.52	289.88
623.92	290.82
625.35	288.62
624.04	288.29
623.87	285.44
624.62	283.67
629.71	282.69
628.29	276.58
630.52	272.27
629.91	272.28
638.79	271.22
635.65	279.87
634.59	281.30
634.25	284.44
631.72	286.02
629.15	286.57
620.53	286.60
620.71	291.44
626.38	291.96
626.95	293.86
631.69	289.01
631.42	287.69
638.86	293.99
636.43	294.94
637.72	298.33
639.92	302.16
637.30	299.49
639.24	300.98
644.89	298.36
643.79	302.69
649.08	303.63
643.87	304.34
644.39	303.63
649.25	306.75
650.76	302.23
645.94	301.38
646.78	299.10
642.94	296.32
641.63	300.07
639.80	299.19
635.34	301.30
638.08	297.08
641.97	296.03
641.14	299.89
647.41	300.17
642.03	308.40
639.67	305.88
637.63	303.80
637.40	299.44
641.31	295.64
641.52	296.82
646.95	295.73
648.40	289.90
650.52	288.87
647.59	289.62
648.80	286.26
652.12	284.37
652.30	283.32
654.79	278.46
658.66	278.79
658.43	280.88
657.43	285.75
655.35	283.90
657.06	282.48
664.17	281.85
663.32	280.21
664.47	279.66
669.37	278.79
670.80	285.26
672.43	283.08
671.92	282.67
669.96	282.57
669.36	281.38
667.00	283.52
